20,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
23,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
26,4022 18056 18057 5032 17795 5309 10606 8571 4950 7202
41,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
46,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
48,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
67,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
76,15707 5600 6997 15706 5375 5374 6994 4759 6173 6163
82,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
86,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
92,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
125,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
131,5259 4727 16140 18494 6166 6161 6162 6163 6164 6165
137,18355 16160 5763 6165 6159 6160 6161 6162 6163 6164
144,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
153,15463 18494 6167 6161 6162 6163 6164 6165 6166 6168
183,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
187,4022 18056 18057 5032 17795 5309 10606 8571 4950 7202
190,8190 8704 10228 6234 45 8700 13611 8703 14212 14577
192,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
196,4668 8452 4238 4221 8512 8511 6167 6162 6163 6164
230,4022 18056 18057 5032 17795 5309 10606 8571 4950 7202
233,15463 18494 6167 6161 6162 6163 6164 6165 6166 6168
238,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
242,8081 8080 11768 18494 6160 6161 6162 6163 6164 6165
260,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
264,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
266,15463 18494 6167 6161 6162 6163 6164 6165 6166 6168
270,4022 18056 18057 5032 17795 5309 10606 8571 4950 7202
283,11290 5301 198 7724 5298 14281 14282 12188 16810 16811
285,11290 5301 198 7724 5298 14281 14282 12188 16810 16811
289,8081 8080 11768 18494 6160 6161 6162 6163 6164 6165
294,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
318,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
329,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
334,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
346,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
351,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
359,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
364,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
372,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
389,18355 16160 5763 6165 6159 6160 6161 6162 6163 6164
393,5259 4727 16140 18494 6166 6161 6162 6163 6164 6165
398,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
400,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
414,5259 4727 16140 18494 6166 6161 6162 6163 6164 6165
422,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
444,15463 18494 6167 6161 6162 6163 6164 6165 6166 6168
447,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
459,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
476,4022 18056 18057 5032 17795 5309 10606 8571 4950 7202
492,8190 8704 10228 6234 45 8700 13611 8703 14212 14577
500,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
505,8666 6066 8316 6158 6160 6161 6162 6163 6164 6165
511,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
521,5259 4727 16140 18494 6166 6161 6162 6163 6164 6165
530,4668 8452 4238 4221 8512 8511 6167 6162 6163 6164
544,1377 8900 10592 6985 8208 9832 4780 6165 6162 6163
548,5259 4727 16140 18494 6166 6161 6162 6163 6164 6165
564,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
577,5259 4727 16140 18494 6166 6161 6162 6163 6164 6165
579,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
595,15463 18494 6167 6161 6162 6163 6164 6165 6166 6168
614,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
622,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
638,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
656,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
679,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
692,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
720,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
744,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
756,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
760,8081 8080 11768 18494 6160 6161 6162 6163 6164 6165
779,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
787,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
798,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
817,13626 17794 4057 8351 6796 12435 10098 8355 16170 586
824,13626 17794 4057 8351 6796 12435 10098 8355 16170 586
839,11290 5301 198 7724 5298 14281 14282 12188 16810 16811
849,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
854,15463 18494 6167 6161 6162 6163 6164 6165 6166 6168
857,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
862,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
868,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
870,1377 8900 10592 6985 8208 9832 4780 6165 6162 6163
874,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
885,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
899,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
912,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
920,15463 18494 6167 6161 6162 6163 6164 6165 6166 6168
937,13626 17794 4057 8351 6796 12435 10098 8355 16170 586
939,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
943,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
955,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
959,4735 9332 18438 18439 1190 17505 13846 6163 6160 6161
966,8081 8080 11768 18494 6160 6161 6162 6163 6164 6165
969,8190 8704 10228 6234 45 8700 13611 8703 14212 14577
980,13626 17794 4057 8351 6796 12435 10098 8355 16170 586
986,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
1000,4668 8452 4238 4221 8512 8511 6167 6162 6163 6164
1008,8190 8704 10228 6234 45 8700 13611 8703 14212 14577
1019,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
1027,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
1029,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
1063,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
1082,4022 18056 18057 5032 17795 5309 10606 8571 4950 7202
1099,8190 8704 10228 6234 45 8700 13611 8703 14212 14577
1103,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
1116,4022 18056 18057 5032 17795 5309 10606 8571 4950 7202
1132,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
1134,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
1141,13626 17794 4057 8351 6796 12435 10098 8355 16170 586
1148,15707 5600 6997 15706 5375 5374 6994 4759 6173 6163
1174,1377 8900 10592 6985 8208 9832 4780 6165 6162 6163
1183,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
1186,15463 18494 6167 6161 6162 6163 6164 6165 6166 6168
1192,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
1199,4668 8452 4238 4221 8512 8511 6167 6162 6163 6164
1205,5259 4727 16140 18494 6166 6161 6162 6163 6164 6165
1209,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
1217,8081 8080 11768 18494 6160 6161 6162 6163 6164 6165
1224,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
1230,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
1237,18355 16160 5763 6165 6159 6160 6161 6162 6163 6164
1245,18156 4292 18494 6165 6160 6161 6162 6163 6164 6166
1250,15707 5600 6997 15706 5375 5374 6994 4759 6173 6163
1257,5259 4727 16140 18494 6166 6161 6162 6163 6164 6165
1268,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
1270,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
1288,8190 8704 10228 6234 45 8700 13611 8703 14212 14577
1300,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
1305,1715 12582 7759 7849 2266 5787 12414 14024 14025 4398
