7,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
10,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
13,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
19,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
23,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
26,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
28,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
33,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
40,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
42,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
44,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
46,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
48,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
51,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
54,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
60,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
62,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
66,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
68,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
75,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
82,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
86,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
92,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
103,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
106,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
109,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
115,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
119,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
122,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
125,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
127,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
131,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
135,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
137,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
144,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
153,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
163,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
168,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
174,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
178,8640 4220 4799 8956 4769 4768 4654 13173 532 11322
