user_id,item_list
0,10227 3569 6404 6530 12469 5562 3601 8635 5700 8638
1,7259 15892 8470 18073 4410 9014 8429 7354 5113 5650
2,4657 4658 11734 11733 735 739 5732 737 5700 4728
4,4634 4728 8666 5297 8982 5562 4638 8564 5147 6648
5,6798 5645 12194 5610 6794 4013 8638 4748 5113 8481
6,10227 345 6343 4844 10230 8635 15581 13554 14912 14342
8,5192 5189 4526 5190 4527 5174 9448 4771 3387 5196
9,9303 4082 5297 5294 16767 5301 7199 7602 4083 8483
11,18360 2730 4767 10466 4361 9196 5192 4784 6881 4770
12,3529 4705 4722 8179 9476 3534 6986 3533 4721 3536
14,9302 7885 5725 6201 10067 10227 3565 6200 6526 7887
15,18301 18299 12194 5113 3991 7493 10914 10232 3641 4691
16,9202 9204 9201 12469 5297 9446 10466 8638 6289 8982
17,5645 3251 15892 9224 5296 7326 187 18185 4361 3922
18,8347 3105 6289 8638 7326 8257 10141 7352 10227 6546
20,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
21,9208 3565 6526 8414 3572 9446 8666 9461 7592 8008
22,7496 12257 4019 3654 5113 3834 3655 5294 5044 12355
24,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
25,10167 4057 3105 5114 7310 8638 6292 14847 5645 10466
27,15102 15099 12469 15100 8638 8414 4747 6404 17558 8666
29,5114 6404 6289 8481 5112 7310 4057 6292 5297 4410
30,4280 17748 8635 5593 15706 6404 7642 8481 6159 194
31,4634 4658 10466 5294 5113 8483 15892 7172 6292 4361
32,15892 5294 5297 5645 189 8481 187 8666 8186 4361
34,5114 4361 8483 3922 10466 6289 5112 4034 8638 9224
35,5297 4844 18153 6289 8481 6292 8483 5113 8505 6404
36,4191 16137 5089 4187 661 4284 4033 10157 7997 16578
39,4795 3655 7495 7496 3842 5736 4792 18301 8445 7493
41,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
43,7581 6289 10227 5143 2301 6404 14847 8635 8445 4844
45,725 3805 5562 1212 7706 3806 13825 4748 12469 5508
47,5297 5296 15892 17955 10141 5301 5293 3970 6159 14451
49,724 5508 7192 3806 4844 9448 5562 3805 8712 4410
50,4728 8666 8564 9461 4762 9476 197 5562 9126 5560
52,4128 4214 8853 6798 8854 6808 5700 17752 3806 8856
53,15114 15099 15100 12469 9477 9461 6404 5897 6289 3568
55,4280 197 192 194 187 4844 8481 5593 17955 7581
56,17955 15908 6526 4219 10067 5291 4346 3572 4657 9103
57,5562 10466 3805 3806 4844 10227 6404 8982 8638 5044
59,4128 8638 12469 8414 9302 2301 8564 8306 1212 10068
61,4657 4658 9199 7581 8638 3529 10067 5645 10227 9206
63,10227 8666 5113 3572 8481 6404 10466 10068 3806 1212
64,197 4703 192 10227 3806 187 194 8481 9461 8638
65,9202 15102 15100 7581 12469 10227 3568 5562 6530 4410
67,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
69,7496 7493 3654 3655 5752 7495 5737 5742 5736 3838
71,5113 10846 6404 2301 7581 16209 11300 10227 8638 8635
72,8506 3922 8570 8563 10067 10163 6526 8483 4361 17559
74,2835 5291 8638 10227 9446 10636 12201 14847 12187 9103
76,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
77,18096 7583 18098 4361 18097 5190 4795 4755 4242 7672
78,18231 9199 725 18236 18238 9203 3565 3527 7592 9206
79,5294 15892 5296 9014 7354 8179 8470 14847 4723 5287
80,15908 739 735 737 1944 5700 736 13837 3806 5562
81,10142 14851 14867 14852 14847 3100 10141 14870 8414 9461
84,3565 3572 8982 8414 3593 15496 6526 8984 7581 8404
85,5297 11734 197 7581 9477 189 4194 4123 7583 192
87,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
88,9093 5562 16176 8505 5508 16179 8516 6391 4069 8508
89,5645 15892 187 5296 4687 4691 5918 9224 3842 17955
90,9133 11309 17955 3827 736 15908 5523 9124 11734 5696
93,10068 8179 7581 5113 6404 197 17955 18094 17558 1212
94,4361 5297 5113 7659 7657 6289 7310 6292 4070 4057
95,15120 10068 6404 5113 7581 8638 6289 9461 8666 4280
96,6404 4844 10227 4280 4279 4696 4410 6292 7310 8638
97,4194 4123 4361 17559 3922 3806 9302 5143 16224 5455
98,12469 8445 10227 8414 4446 8668 9948 2301 4657 4280
102,9477 16659 7583 8638 8668 15030 6404 8414 8666 4242
104,8516 17547 8519 8523 8556 9302 8506 15043 8505 15220
105,3568 379 18094 6204 6530 6831 6200 6207 18098 18101
108,6404 5114 10466 12469 7310 4844 4361 10227 6292 5112
110,3898 4357 4034 16376 4033 8638 4035 6530 3568 2301
111,12469 15114 7581 10068 6404 8638 4280 4844 5044 6292
112,4124 4123 4194 4034 4361 17732 7310 17559 17735 17558
113,187 4280 10068 6018 8635 8179 10227 4410 1212 8638
114,3805 5561 9204 9203 9202 9446 8666 3568 3572 6526
116,9128 11734 8564 15908 11733 8570 11309 736 17580 8565
117,8414 6528 8666 8982 6289 9448 15100 9446 7581 8481
118,3568 12469 8635 10227 8638 5593 6404 4844 5143 7581
120,5508 5561 7495 7493 1212 3805 8481 6289 10466 8638
123,15819 12194 4361 5483 3898 75 16227 3827 4357 5481
124,4748 9302 5114 10466 7581 4410 6404 10067 5112 4844
126,4634 18098 2301 8638 12469 5143 10167 9303 4728 18097
128,3105 9446 4346 16376 6526 4343 4359 10914 9448 6404
129,10068 6289 7437 5113 8564 8483 17955 9461 4410 4844
130,7657 7661 7662 5602 4440 11327 4844 5074 7581 4202
132,18494 6068 6160 6161 6162 6163 6164 6165 6166 6167
134,8638 8849 5895 5896 10227 8982 1212 6292 4844 5113
136,2361 14084 11805 810 5296 17712 9644 11855 3726 4732
138,12469 8668 8414 7172 2301 4242 5113 7455 10466 4762
139,7581 6289 8635 8481 9303 4844 8666 5113 10227 3806
140,3902 5113 8481 8179 6289 5297 5112 8483 6292 14847
141,4657 4634 15101 15100 15099 4731 4712 9475 7688 4711
142,735 11733 11734 15908 738 5700 13837 10813 15907 17550
143,18096 379 18098 18094 18101 1689 18097 8034 18093 1691
145,6776 6780 15132 6798 4346 5756 15147 4976 4357 9171
146,4702 8414 8666 9461 4703 9302 4710 5143 4634 6404
149,4657 15114 12469 4279 8666 6404 8414 6228 9461 10227
150,12815 4128 3554 4214 17955 3827 9948 232 15908 10068
151,4634 9202 4658 9203 10068 9204 9201 5297 5113 4361
152,4035 4033 4361 3922 4194 4124 9228 9224 4123 11395
155,3569 8515 4983 4844 6530 4985 5113 14851 4410 6391
156,4280 5508 5561 15099 7581 6404 15101 8506 15102 8635
157,15458 5143 7310 5147 10466 8445 10055 4627 8638 18185
158,15398 5113 9302 15892 18096 5297 3105 8481 5044 2301
159,10227 7662 7657 5113 8635 8638 4844 12469 7581 6289
160,6798 9053 1944 6794 6796 5645 7354 6806 6289 4410
161,3572 3566 15800 8982 3593 8414 9302 8666 12469 7584
162,4702 3569 4691 1943 5275 9461 5202 8564 197 3834
164,4279 8257 5645 7883 3572 6526 7581 3565 17955 6289
165,9477 5921 3806 5562 5920 7706 3805 1212 15030 18343
166,7883 5562 8186 3805 8666 7581 3902 8526 13838 4687
167,10466 7493 17594 8261 4309 17597 16224 6881 10141 3654
