user_id,item_list
20,10466 7173 4124 6359 5113 7584 724 6289 8479 5287
23,8506 7173 12469 725 6289 6359 5113 724 10466 7584
26,4124 10466 6359 5113 3941 4034 5287 4035 9228 17558
41,4124 10466 5113 7584 6289 6359 8407 4034 4056 7583
46,10466 5113 6359 8506 4279 6289 8407 7584 4507 4124
48,4124 10466 7173 5113 4034 7584 6359 8479 724 4035
67,8506 7173 12469 725 6289 6359 5113 724 10466 7584
76,7173 10466 724 725 7584 8506 6289 5113 12469 8479
82,8506 7173 12469 725 6289 6359 5113 724 10466 7584
86,10466 7173 4124 6359 5113 7584 724 6289 8479 5287
92,4124 10466 6359 5113 5287 7584 8407 6289 4034 7586
125,7173 10466 7584 724 725 8479 6405 8506 12469 5518
131,7584 10466 7173 725 724 5113 7586 6289 7585 6405
137,7173 10466 8479 6359 8506 725 5113 724 6018 5287
144,6405 10466 8506 4279 7584 725 8668 7586 7585 5113
153,10466 4124 6359 5113 7173 6289 5287 4030 4507 4056
183,4124 10466 6359 5113 5287 7584 8407 6289 4034 7586
187,4124 10466 6359 5113 3941 4034 5287 4035 9228 17558
190,10466 7584 7586 6405 4279 7585 724 725 8506 5113
192,10466 5113 6359 8506 4279 6289 8407 7584 4507 4124
196,7584 10466 7585 5895 7583 7586 6405 5113 724 725
230,4124 10466 6359 5113 3941 4034 5287 4035 9228 17558
233,10466 4124 6359 5113 7173 6289 5287 4030 4507 4056
238,10466 7173 4124 6359 5113 7584 724 6289 8479 5287
242,7584 10466 5895 7582 7586 6405 7583 724 725 7585
260,4124 10466 6359 5113 5287 7584 8407 6289 4034 7586
264,7584 10466 6405 725 724 7586 7585 5895 8667 4279
266,10466 4124 6359 5113 7173 6289 5287 4030 4507 4056
270,4124 6359 10466 7173 4034 5113 17558 4033 4030 5287
283,10466 7173 6359 8506 6289 5113 8479 4279 12469 7584
285,10466 7173 6359 8506 6289 5113 8479 4279 12469 7584
289,7584 10466 5895 7582 7586 6405 7583 724 725 7585
294,6405 10466 8506 4279 7584 725 8668 7586 7585 5113
318,6405 10466 8506 4279 7584 725 8668 7586 7585 5113
329,10466 4124 7584 5113 6359 8407 7585 7586 6289 4279
334,7584 10466 6405 725 724 7586 7585 5895 8667 4279
346,4124 10466 6359 5113 5287 7584 8407 6289 4034 7586
351,8506 7173 12469 725 6289 6359 5113 724 10466 7584
359,10466 4124 7584 5113 6359 8407 7585 7586 6289 4279
364,7584 10466 6405 725 724 7586 7585 5895 8667 4279
372,6405 10466 8506 4279 7584 725 8668 7586 7585 5113
389,7173 10466 724 725 8479 5113 6359 6289 7584 8506
393,7584 10466 7173 725 724 5113 7583 7585 7586 5895
398,4124 10466 6359 5113 5287 7584 8407 6289 4034 7586
400,7584 10466 724 725 6405 5895 5113 7583 7586 7585
414,10466 7584 7173 725 724 5113 5895 7583 7582 7585
422,4124 10466 6359 5113 5287 7584 8407 6289 4034 7586
444,10466 4124 6359 5113 7173 6289 5287 4030 4507 4056
447,8506 7173 12469 725 6289 6359 5113 724 10466 7584
459,8506 7173 12469 725 6289 6359 5113 724 10466 7584
476,4124 10466 6359 5113 3941 4034 5287 4035 9228 17558
