user_id,item_list
2757, 8670 6529 15496 6534 9162 9102 11425 10565 2526 17660
3002, 9162 8670 6534 6529 15496 9102 11425 17932 8521 4635
6172, 13579 13577 12534 7667 8730 14261 9464 9466 5795 16612
8926, 5364 6158 8449 6427 10736 17872 10729 10613 13765 10289
11542, 6534 8670 6529 9162 9102 15496 17932 10565 4635 8521
16773, 7248 7247 15124 5203 11446 12804 9463 18301 18300 520
17330, 9463 11446 15124 12804 7248 7247 14098 14069 13358 13075
17688, 3330 2057 11706 18098 8295 7281 1971 10886 17792 16401
20743, 4140 4710 4688 4692 5938 16204 7329 14044 8457 5106
23004, 4083 16467 9459 12497 14658 12923 6356 14657 6519 422
24411, 192 186 195 6529 15496 9162 9102 8670 6534 7249
24919, 12356 16577 7648 14836 8986 1437 4298 12874 10220 196
25283, 18232 3613 7306 7725 4734 18139 6331 8048 2952 16100
26046, 8670 15496 9162 9102 6529 6534 8521 10565 8418 17829
26684, 13727 233 12141 11652 13041 3282 16436 10697 13857 13940
29084, 5202 8519 11065 9463 5195 15124 7247 12804 3519 7248
29260, 6844 235 8409 4086 15084 1428 8408 11182 10582 8412
